vowsls_designation_id,sls_designation_id,desig,note
924,1690,DRIVER,
925,1691,SECURITY,
926,1692,GARDENER,
927,1693,ELECTRICIAN HELPER,
928,1694,TRAINEE SPINNER 4 1/4,
929,1695,TRAINEE SPINNER 5 1/2,
930,1696,INTER SPREADER RECEIVER,
931,1697,INTER SPREADER FEEDER,
932,1698,Operator HK,
933,1699,JOINT BAGS,
934,1700,BATCHING TURNER,
935,1701,Operator,
936,1702,HEMMING MAZDOOR,
937,1703,Motors Cleaning,
938,1704,Mason Mazdoor,
939,1705,HEK.OPERATOR,
940,1706,Weaving Mech Mazdoor,
941,1707,Mazdoors/Operator,
942,1708,Single Loom(T),
943,1709,Beaming Mazdoor,
944,1710,Winding sweeper,
945,1711,5 1/2 Bobbin Cleaning,
946,1712,Cleaning Mazdoor,
947,1713,BALES OPNER,
948,1714,"TEASER MAZDOOR, WEFT",
949,1715,"MAZDOOR , CARRIER",
950,1716,"MAZDOOR,ROOT CUTTING",
951,1717,"MAZDOOR,BALES OPENER",
952,1718,WATER SPRAY,
953,1719,TEASURE MAZDOOR,
954,1720,DRAWING FEEDER,
955,1721,BUNDY MAZDOOR - N/S,
956,1722,MIXING MAZDOOR,
957,1723,BUNDY MAZDOOR,
958,1724,BUNDY MAZDOOR - WEFT,
959,1725,MASON,
960,1726,SPEADER MECHANIC,
961,1727,BOBBIN POLISH,
962,1728,HUMIDY FIRE CLEANING,
963,1729,ROOF CLEANING,
964,1730,DRAWING DAILY CLEANING,
965,1731,DUST SHAKE MAZDOOR (CARDING),
966,1732,LINE WASTAGE MAZDOOR,
967,1733,CUTTING CARRIER (HUPPER),
968,1734,BATCHING SPRAY,
969,1735,CUTTING CARRIER,
970,1736,DUST SHAKHER MAZDOOR,
971,1737,DUST REMOVE SPEADER,
972,1738,TRINEE SARDAR,
973,1739,ROLLER MAN,
974,1740,PRESS MAN (T),
975,1741,BREAKER FEEDER (FROM SPREADER),
976,1742,SPREADER ROLL CARRIER TO BREAKER,
977,1743,SPREADER RECEIVER,
978,1744,SPREADER FEEDER,
979,1745,RE WINDER,
980,1746,CLEANING,
981,1747,WIREMAN,
982,1748,"MAINT CUM HUMIDIFIRE,AC REPAIR",
983,1749,SWEEPER,
984,1750,SWEEPER,
985,1751,BOBBIN CLEANER-S,
986,1752,SWEEPER (C),
987,1753,SWEEPER(F),
988,1754,LINE WASTE MAZDOOR,
989,1755,DUST MAZDOOR,
990,1756,DAMPING MAZDOOR,
991,1757,HAND SEWING SARDAR,
992,1758,CUTTING TO HEMMING MAZDOOR,
993,1759,CUTTING M/C RECEIVER,
994,1760,CUTTING RELEIVER,
995,1761,EXTRA IN BATCHING,
996,1762,EXTRA PROCESS STOCK,
997,1763,EXTRA ( OD ),
998,1764,EXTRA (MECH WINDING),
999,1765,EXTRA(MECH DRAWING),
1000,1766,EXTRA (MECH CARDING),
1001,1767,GUNNY TEASER RECEIVER,
1002,1768,TRUSS PACKING MAZDOOR,
1003,1769,BUNDLE CARRIERS (HKL TO H/S),
1004,1770,BANDI MAZDOOR (HMG TO HKL),
1005,1771,EXTRA SARDAR,
1006,1772,FEDDER - JF1,
1007,1773,FINISHER DRAWING FEEDER,
1008,1774,2ND DRAWING FEEDER,
1009,1775,FINISHER CARD RECV & 1ST DRG FEEDER,
1010,1776,EXTRA (GENERAL),
1011,1777,SWEEPER,
1012,1778,BEAM FLANGE  SERVICE HELPER,
1013,1779,GENERAL MAZDOOR,
1014,1780,STORE MAZDOOR,
1015,1781,EXTRA(ELECTRICAL),
1016,1782,DG SET OPERATOR,
1017,1783,PUMP MAN,
1018,1784,MOTOR MAN,
1019,1785,ELECTRICIAN,
1020,1786,CHARGE HAND(ELECTRICAL),
1021,1787,EXTRA (WORKSHOP),
1022,1788,CARPENTER(WORK SHOP),
1023,1789,SHOP MAZDOOR,
1024,1790,HEMMER MAN,
1025,1791,BLACK SMITH,
1026,1792,TIN SMITH,
1027,1793,TURNER (WORK SHOP),
1028,1794,WELDER,
1029,1795,PLUMBER,
1030,1796,DRILL BOY,
1031,1797,VICE FITTER(WORK SHOP),
1032,1798,CHARGE HAND(WORK SHOP),
1033,1799,EXTRA (FM FINISHING),
1034,1800,OILER (MECH.FINISHING),
1035,1801,HERAKALE LINE FITTER,
1036,1802,HEMMING LINE FITTER,
1037,1803,COMMON FITTER,
1038,1804,EXTRA(MECH WEAVING),
1039,1805,MAZDOOR,
1040,1806,LOOM OILER,
1041,1807,LOADER PM,
1042,1808,LOADER FITTER,
1043,1809,CARPENTER(MECH WEAVING),
1044,1810,LOOM PM HELPER,
1045,1811,LOOM PM FITTER,
1046,1812,LOOM LINE FITTER(MECH WEAVING),
1047,1813,PM FITTER BEAMING,
1048,1814,PM HELPER M / ROLL WINDING,
1049,1815,PM FITTER M/ROLL WINDING,
1050,1816,PM HELPER COP WINDER,
1051,1817,PM FITTER COP WINDER,
1052,1818,OILER (MECH.WINDING),
1053,1819,LINE FITTER(MECH WINDING),
1054,1820,CHARGE HAND (MECH.WINDING),
1055,1821,EXTRA(MECH SPG),
1056,1822,PM HELPER,
1057,1823,PM FITTER,
1058,1824,VICE FITTER(MECH.SPINNING),
1059,1825,RUBBER PRESSING ROLLER FITTER,
1060,1826,OILER (MECH.SPINNING),
1061,1827,LINE FITTER(MECH SPINNING),
1062,1828,CHARGE HAND ( MECH.SPINNING),
1063,1829,GILL PIN BOY  REPARING,
1064,1830,OILER(MECH.DRAWING),
1065,1831,DRAWING PM FITTER,
1066,1832,CARRIAGE FITTER,
1067,1833,DRAWING FITTER,
1068,1834,CARD PIN BOY(MECH.CARDING),
1069,1835,TURNER,
1070,1836,MAZDOOR,
1071,1837,CARPENTER(MECH CARDING),
1072,1838,CARD CLEANING (PIKING),
1073,1839,OILER (MECH.CARDING),
1074,1840,ROLL FORMER,
1075,1841,CARDING FITTER(MECH.CARDING),
1076,1842,VICE FITTER(MECH.CARDING),
1077,1843,SOFTNER LINE FITTER,
1078,1844,CHARGE HAND(MECH.CARDING),
1079,1845,EXTRA SHIPPING,
1080,1846,MARKER,
1081,1847,GUNNY GODOWN SHIPPING MAZDOOR,
1082,1848,EXTRA FNG,
1083,1849,BALE CARRIERS,
1084,1850,SCALE MAZDOOR,
1085,1851,PRESS MAN,
1086,1852,PRESS HOOP CUTTER,
1087,1853,GENERAL MAZDOOR,
1088,1854,S Q C MAZDOOR,
