vowsls_mechine_id,sls_machine_id,machine_name
672,2930,Spreader -1
673,2931,Spreader -2
674,2932,Spreader -3
675,2933,Spreader -4
676,2934,Spreader -5
677,2935,BAY -1
678,2936,BAY -2
679,2937,BAY -3
680,2938,BAY -4
681,2939,BAY -5
682,2940,BAY -6
683,2941,WEFT -1
684,2942,WEFT -2
685,2943,WEFT -3
686,2944,WEFT -4
687,2945,WEFT -5
688,2946,WEFT -6
689,2947,WEFT -7
690,2948,WEFT -8
691,2949,WEFT -9
692,2950,WEFT -10
693,2951,WEFT -11
694,2952,WEFT -12
695,2953,WEFT -13
696,2954,WEFT -14
697,2955,WEFT -15
698,2956,WEFT -16
699,2957,WEFT -17
700,2958,WEFT -18
701,2959,WEFT -19
702,2960,WEFT -20
703,2961,WEFT -21
704,2962,WEFT -22
705,2963,FRAME -1
706,2964,FRAME -2
707,2965,FRAME -3
708,2966,FRAME -4
709,2967,FRAME -5
710,2968,FRAME -6
711,2969,FRAME -7
712,2970,FRAME -8
713,2971,FRAME -9
714,2972,FRAME -10
715,2973,FRAME -11
716,2974,FRAME -12
717,2975,FRAME -13
718,2976,FRAME -14
719,2977,FRAME -15
720,2978,FRAME -16
721,2979,FRAME -17
722,2980,FRAME -18
723,2981,FRAME -19
724,2982,FRAME -20
725,2983,FRAME -21
726,2984,FRAME -22
727,2985,FRAME -23
728,2986,FRAME -24
729,2987,FRAME -25
730,2988,FRAME -26
731,2989,FRAME -27
732,2990,FRAME -28
733,2991,FRAME -29
734,2992,FRAME -30
737,2993,S001
738,2994,S002
739,2995,S003
740,2996,S004
741,2997,S005
742,2998,S006
743,2999,S007
744,3000,S008
745,3001,S009
746,3002,S010
747,3003,S011
748,3004,S012
749,3005,S013
750,3006,S014
751,3007,S015
752,3008,S016
753,3009,S017
754,3010,S018
755,3011,S019
756,3012,S020
757,3013,S021
758,3014,S022
759,3015,S023
760,3016,S024
761,3017,S025
762,3018,S026
763,3019,S027
764,3020,S028
765,3021,S029
766,3022,S030
767,3023,S031
768,3024,S032
769,3025,S033
770,3026,S034
771,3027,S035
772,3028,S036
773,3029,S037
774,3030,S038
775,3031,S039
776,3032,S040
777,3033,S041
778,3034,S042
779,3035,S043
780,3036,S044
781,3037,S045
782,3038,S046
783,3039,S047
784,3040,S048
785,3041,S049
786,3042,S050
787,3043,S051
788,3044,S052
789,3045,S053
790,3046,S054
791,3047,S055
792,3048,S056
793,3049,S057
794,3050,S058
795,3051,S059
796,3052,S060
797,3053,S061
798,3054,S062
799,3055,S063
800,3056,S064
801,3057,S065
802,3058,S066
803,3059,S067
804,3060,S068
805,3061,S069
806,3062,S070
807,3063,S071
808,3064,S072
809,3065,S073
810,3066,S074
811,3067,S075
812,3068,S076
813,3069,S077
814,3070,S078
815,3071,S079
816,3072,S080
817,3073,S081
818,3074,S082
819,3075,S083
820,3076,S084
821,3077,S085
822,3078,S086
823,3079,S087
824,3080,S088
825,3081,S089
826,3082,S090
827,3083,S091
828,3084,S092
829,3085,S093
830,3086,S094
831,3087,S095
832,3088,S096
833,3089,S097
834,3090,S098
835,3091,S099
836,3092,S100
837,3093,S101
838,3094,S102
839,3095,S103
840,3096,S104
841,3097,S105
842,3098,S106
