vowsls_dept_id,sls_sub_dept_id,sub_dept_code,sub_dept_desc,vowsls_mast_dept_code,sls_dept_id
117,497,,Sales and Purchase,1,109
170,498,Delivery Officers,Security,3,147
388,499,001,BATCHING B,5,342
389,500,002,BATCHING A,5,342
390,501,003,BATCHING G,5,342
391,502,004,BATCHING C,5,342
392,503,005,PREPARING A,6,343
393,504,006,PREPARING B,6,343
394,505,007,PREPARING C,6,343
395,506,008,SOFTNER A,5,342
396,507,009,SOFTNER B,5,342
397,508,019,SSP 2 C,7,344
398,509,018,SSP 2 B,7,344
399,510,017,SSP 2 A,7,344
400,511,016,SSP 1 C,7,344
401,512,014,SSP 1 A,7,344
402,513,013,SPG MAIN C,7,344
403,514,012,SPG MAIN B,7,344
404,515,011,SPG MAIN A,7,344
405,516,010,TWIST C,7,344
406,517,015,SSP 1 B,7,344
407,518,021,S WIND B,9,346
408,519,022,S WIND C,9,346
409,520,023,C WIND A,9,346
410,521,024,C WIND B,9,346
411,522,020,S WIND A,6,343
412,523,025,C WIND C,9,346
413,524,027,BEAMING B,10,347
414,525,028,BEAMING C,10,347
415,526,026,BEAMING A,10,347
416,527,029,WEAVING A 1,11,348
417,528,030,WEAVING A 2,11,348
418,529,031,WEAVING A 3,11,348
419,530,032,WEAVING A 4,11,348
420,531,033,WEAVING A 5,11,348
421,532,034,WEAVING B 1,11,348
422,533,035,WEAVING B 2,11,348
423,534,036,WEAVING B 3,11,348
424,535,037,WEAVING B 4,11,348
425,536,038,WEAVING B 5,11,348
426,537,039,WEAVING C 1,11,348
427,538,040,WEAVING C 2,11,348
428,539,041,WEAVING C 3,11,348
429,540,042,WEAVING C 4,11,348
430,541,043,WEAVING C 5,11,348
431,542,045,FNG MAIN B,12,349
432,543,044,FNG MAIN A,12,349
433,544,046,FNG MAIN G,12,349
434,545,047,BALING A,12,349
435,546,048,BALING B,12,349
436,547,054,H S F M,12,349
437,548,050,SACK SEW A,12,349
438,549,051,SACK SEW B,12,349
439,550,052,HEMMING A,12,349
440,551,053,HEMMING B,12,349
441,552,049,GUNNY GODOWN,12,349
442,553,056,FOUNDRY,14,351
443,554,055,WORK SHOP,14,351
444,555,057,GEN MILL,14,351
445,556,066,FACT.MECH.FNG,14,351
446,557,065,FACT.MECH.WVG,14,351
447,558,064,FACT.MECH.WIND,14,351
448,559,063,M M S M,14,351
449,560,058,GEN SPL MAIN,14,351
450,561,059,ELECTRICAL,14,351
451,562,060,GEN OPERATORS,14,351
452,563,061,MECH.BATCHING,14,351
453,564,062,MECH.SPINNING,14,351
454,565,068,JUTE HAND,4,341
455,566,067,JUTE ISSUE,4,341
456,567,069,GARDNERS,19,356
457,568,070,BLUE FORCE,19,356
458,569,071,DRIVERS,19,356
459,570,,Delivery Supervisor,29,366
460,571,,OFFICE BOY,31,368
461,572,,PEON AND SECURITY,31,368
462,573,,ACCOUNTS,2,110
463,574,,E D P,18,355
464,575,,MEDICAL,36,373
465,576,,SQC,16,353
466,577,104,STORES,34,371
467,578,,PERSONAL DEPARTMENT,37,374
468,579,,LABOUR OFFICE,38,375
469,580,,MAIN OFFICE,39,376
470,581,,WEIGHING BRIDGE,19,356
471,582,,JUTE,4,341
472,583,,GENERAL,19,356
473,584,,FINISHING,12,349
474,585,,WINDING,9,346
475,586,,SPINNING,7,344
476,587,,WEAVING,11,348
477,588,,BATCHING,5,342
478,589,,MILL MECHANICAL,5,342
479,590,MFS,MECH FACTORY SIDE,45,382
480,591,,RTD CLERK,16,353
481,592,,BEAMING,10,347
482,593,,DRAWING,5,342
483,594,,SALES,35,372
484,595,,SELECTION,5,342
485,596,,WATCH AND WARD,40,377
486,597,072,BATCHING C S,5,342
487,598,,FACT MEC WIND G,14,351
488,599,,FACT MEC WVG G,14,351
489,600,,CLERICAL,41,378
490,601,55,MOTOR,43,380
491,602,,MECHANICAL,138,376
492,603,MILL MECH,Mill Mechanical Side,138,376
493,604,20050,PERSONNAL,34,371
