vowsls_dept_id,sls_sub_dept_id,sub_dept_code,sub_dept_desc,vowsls_mdept_id,sls_dept_id
21,21,002,BATCHING B,2,38
22,22,001,BATCHING A,2,38
23,23,004,BATCHING G,2,38
24,24,003,BATCHING C,2,38
25,25,005,PREPARING A,3,39
26,26,006,PREPARING B,3,39
27,27,007,PREPARING C,3,39
28,28,008,SOFTNER A,2,38
29,29,009,SOFTNER B,2,38
30,30,019,SSP 2 C,4,40
31,31,018,SSP 2 B,4,40
32,32,017,SSP 2 A,4,40
33,33,016,SSP 1 C,4,40
34,34,014,SSP 1 A,4,40
35,35,013,SPG MAIN C,4,40
36,36,012,SPG MAIN B,4,40
37,37,011,SPG MAIN A,4,40
38,38,010,TWIST C,4,40
39,39,015,SSP 1 B,4,40
40,40,021,S WIND B,6,42
41,41,022,S WIND C,6,42
42,42,023,C WIND A,6,42
43,43,024,C WIND B,6,42
44,44,020,S WIND A,6,42
45,45,025,C WIND C,6,42
46,46,027,BEAMING B,7,43
47,47,028,BEAMING C,7,43
48,48,026,BEAMING A,7,43
49,49,029,WEAVING A 1,8,44
50,50,030,WEAVING A 2,8,44
51,51,031,WEAVING A 3,8,44
52,52,032,WEAVING A 4,8,44
53,53,033,WEAVING A 5,8,44
54,54,034,WEAVING B 1,8,44
55,55,035,WEAVING B 2,8,44
56,56,036,WEAVING B 3,8,44
57,57,037,WEAVING B 4,8,44
58,58,038,WEAVING B 5,8,44
59,59,039,WEAVING C 1,8,44
60,60,040,WEAVING C 2,8,44
61,61,041,WEAVING C 3,8,44
62,62,042,WEAVING C 4,8,44
63,63,043,WEAVING C 5,8,44
64,64,045,FNG MAIN B,9,45
65,65,044,FNG MAIN A,9,45
66,66,046,FNG MAIN G,9,45
67,67,047,BALING A,9,45
68,68,048,BALING B,9,45
69,69,054,H S F M,9,45
70,70,050,SACK SEW A,9,45
71,71,051,SACK SEW B,9,45
72,72,052,HEMMING A,9,45
73,73,053,HEMMING B,9,45
74,74,049,GUNNY GODOWN,9,45
75,75,056,FOUNDRY,11,47
76,76,055,WORK SHOP,11,47
77,77,057,GEN MILL,11,47
78,78,066,FACT.MECH.FNG,11,47
79,79,065,FACT.MECH.WVG,11,47
80,80,064,FACT.MECH.WIND,11,47
81,81,063,M M S M,11,47
82,82,058,GEN SPL MAIN,11,47
83,83,059,ELECTRICAL,11,47
84,84,060,GEN OPERATORS,11,47
85,85,061,MECH.BATCHING,11,47
86,86,062,MECH.SPINNING,11,47
87,87,068,JUTE HAND,1,37
88,88,067,JUTE ISSUE,1,37
89,89,069,GARDNERS,16,52
90,90,070,BLUE FORCE,16,52
91,91,071,DRIVERS,16,52
102,102,,Delivery Supervisor,26,96
128,128,,OFFICE BOY,28,122
129,129,,PEON AND SECURITY,28,122
130,130,,ACCOUNTS,29,123
132,132,,E D P,15,51
133,133,,MEDICAL,33,128
134,134,,SQC,13,49
135,135,104,STORES,31,126
136,136,,PERSONAL DEPARTMENT,34,129
137,137,,LABOUR OFFICE,35,130
138,138,,MAIN OFFICE,36,131
139,139,,WEIGHING BRIDGE,16,52
140,140,,JUTE,1,37
141,141,,GENERAL,16,52
142,142,,FINISHING,9,45
143,143,,WINDING,6,42
144,144,,SPINNING,4,40
145,145,,WEAVING,8,44
146,146,,BATCHING,2,38
147,147,,MILL MECHANICAL,2,38
148,148,MFS,MECH FACTORY SIDE,42,180
149,149,,RTD CLERK,16,52
150,150,,BEAMING,7,43
151,151,,DRAWING,2,38
152,152,,SALES,32,127
153,153,,SELECTION,2,38
156,156,,WATCH AND WARD,37,136
161,161,072,BATCHING C S,2,38
162,162,,FACT MEC WIND G,11,47
163,163,,FACT MEC WVG G,11,47
173,173,,CLERICAL,38,152
178,178,55,MOTOR,40,158
196,708,,MECHANICAL,138,131
198,709,MILL MECH,Mill Mechanical Side,138,131
385,385,20050,PERSONNAL,34,129
386,386,20050,PERSONNAL,34,129
495,495,20051,TEMPLE,1013,390
496,713,5001,MILL SIDE,1014,391
