vowsls_dept_id,sls_sub_dept_id,sub_dept_code,sub_dept_desc,vowsls_mdept_id,sls_dept_id_branch87
21,715,002,BATCHING B,2,342
22,716,001,BATCHING A,2,342
23,717,004,BATCHING G,2,342
24,718,003,BATCHING C,2,342
25,719,005,PREPARING A,3,343
26,720,006,PREPARING B,3,343
27,721,007,PREPARING C,3,343
28,722,008,SOFTNER A,2,342
29,723,009,SOFTNER B,2,342
30,724,019,SSP 2 C,4,344
31,725,018,SSP 2 B,4,344
32,726,017,SSP 2 A,4,344
33,727,016,SSP 1 C,4,344
34,728,014,SSP 1 A,4,344
35,729,013,SPG MAIN C,4,344
36,730,012,SPG MAIN B,4,344
37,731,011,SPG MAIN A,4,344
38,732,010,TWIST C,4,344
39,733,015,SSP 1 B,4,344
40,734,021,S WIND B,6,346
41,735,022,S WIND C,6,346
42,736,023,C WIND A,6,346
43,737,024,C WIND B,6,346
44,738,020,S WIND A,6,346
45,739,025,C WIND C,6,346
46,740,027,BEAMING B,7,347
47,741,028,BEAMING C,7,347
48,742,026,BEAMING A,7,347
49,743,029,WEAVING A 1,8,348
50,744,030,WEAVING A 2,8,348
51,745,031,WEAVING A 3,8,348
52,746,032,WEAVING A 4,8,348
53,747,033,WEAVING A 5,8,348
54,748,034,WEAVING B 1,8,348
55,749,035,WEAVING B 2,8,348
56,750,036,WEAVING B 3,8,348
57,751,037,WEAVING B 4,8,348
58,752,038,WEAVING B 5,8,348
59,753,039,WEAVING C 1,8,348
60,754,040,WEAVING C 2,8,348
61,755,041,WEAVING C 3,8,348
62,756,042,WEAVING C 4,8,348
63,757,043,WEAVING C 5,8,348
64,758,045,FNG MAIN B,9,349
65,759,044,FNG MAIN A,9,349
66,760,046,FNG MAIN G,9,349
67,761,047,BALING A,9,349
68,762,048,BALING B,9,349
69,763,054,H S F M,9,349
70,764,050,SACK SEW A,9,349
71,765,051,SACK SEW B,9,349
72,766,052,HEMMING A,9,349
73,767,053,HEMMING B,9,349
74,768,049,GUNNY GODOWN,9,349
75,769,056,FOUNDRY,11,351
76,770,055,WORK SHOP,11,351
77,771,057,GEN MILL,11,351
78,772,066,FACT.MECH.FNG,11,351
79,773,065,FACT.MECH.WVG,11,351
80,774,064,FACT.MECH.WIND,11,351
81,775,063,M M S M,11,351
82,776,058,GEN SPL MAIN,11,351
83,777,059,ELECTRICAL,11,351
84,778,060,GEN OPERATORS,11,351
85,779,061,MECH.BATCHING,11,351
86,780,062,MECH.SPINNING,11,351
87,781,068,JUTE HAND,1,341
88,782,067,JUTE ISSUE,1,341
89,783,069,GARDNERS,16,356
90,784,070,BLUE FORCE,16,356
91,785,071,DRIVERS,16,356
102,786,,Delivery Supervisor,26,366
128,787,,OFFICE BOY,28,368
129,788,,PEON AND SECURITY,28,368
130,789,,ACCOUNTS,29,110
132,790,,E D P,15,355
133,791,,MEDICAL,33,373
134,792,,SQC,13,353
135,793,104,STORES,31,371
136,794,,PERSONAL DEPARTMENT,34,374
137,795,,LABOUR OFFICE,35,375
138,796,,MAIN OFFICE,36,376
139,797,,WEIGHING BRIDGE,16,356
140,798,,JUTE,1,341
141,799,,GENERAL,16,356
142,800,,FINISHING,9,349
143,801,,WINDING,6,346
144,802,,SPINNING,4,344
145,803,,WEAVING,8,348
146,804,,BATCHING,2,342
147,805,,MILL MECHANICAL,2,342
148,806,MFS,MECH FACTORY SIDE,42,382
149,807,,RTD CLERK,16,356
150,808,,BEAMING,7,347
151,809,,DRAWING,2,342
152,810,,SALES,32,372
153,811,,SELECTION,2,342
156,812,,WATCH AND WARD,37,377
161,813,072,BATCHING C S,2,342
162,814,,FACT MEC WIND G,11,351
163,815,,FACT MEC WVG G,11,351
173,816,,CLERICAL,38,378
178,817,55,MOTOR,40,380
196,818,,MECHANICAL,138,376
198,819,MILL MECH,Mill Mechanical Side,138,376
385,820,20050,PERSONNAL,34,374
386,821,20050,PERSONNAL,34,374
495,822,20051,TEMPLE,1013,15013
496,823,5001,MILL SIDE,1014,15014
